codigo,actividad_corta,dane_groups,pib_2010_billones,pib_2025_billones,crec_pib_anual,ocupados_2010_millones,ocupados_2025_millones,crec_ocupados_anual
"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","001,002,004-008,013",22.863,37.24413925969323,0.03306658668991713,1.5534433551027695,1.815701944599347,0.010454143535697069
003,Café,003,3.415,5.000923511497827,0.0257557660683172,0.4749461358959258,0.5360977306600623,0.008107023935276736
009-012,Ganadería,009-012,10.902,17.320411265089817,0.031343814281775906,0.7738115606762551,0.6400434666479857,-0.012573109061597143
"014,015",Silvicultura,"014,015",1.423,2.1380746483326276,0.027514275299906243,0.04304943337330715,0.03046753767752683,-0.022782292740220034
016,Pesca y acuicultura,016,1.354,2.5980392331286484,0.04440386270543306,0.11113578197173007,0.1056474874261046,-0.0033706235194189693
017,Carbón,017,7.720999999999999,5.720123858936617,-0.019798283531645033,0.03008117114210483,0.05528982198858535,0.04141388417484371
"018,021","Petróleo, gas y apoyo conexo","018,021",25.402999999999995,24.562529838366398,-0.0022404978536637588,0.044528439684593885,0.04263757292406616,-0.0028886345768441846
019,Minerales metalíferos,019,4.203000000000001,2.9544347977393164,-0.02322545185135172,0.08815510926309875,0.16826876102445892,0.04403982999024225
020,Otras minas y canteras,020,1.492,1.494340019948779,0.00010448208197044728,0.028604558003462666,0.0327733589126662,0.009111249097676133
"023-025|026|027|028,032,035|029|030,031|033|034|036","Alimentos, bebidas y tabaco","023-025; 026; 027; 028,032,035; 029; 030,031; 033; 034; 036",23.952,33.54384650104266,0.022707416216744658,0.5978903662379812,0.6586972624801123,0.006478001179062609
"037,038",Textiles y confecciones,"037,038",7.967,10.607965725792193,0.01926979071826329,0.4813899335993708,0.49805116874437017,0.0022709216973502144
039,"Cuero, calzado y artículos de viaje",039,1.676,1.1849977163851964,-0.022846256986206348,0.13365241144631937,0.1828688716093106,0.02112176316134029
040,Madera,040,1.052,1.0115700594317696,-0.002609221793317351,0.05382927268261071,0.054824881653493765,0.001222527649991978
041,Papel y cartón,041,2.769,3.60263545379592,0.017700116404734345,0.035843175242087695,0.04042432980803852,0.008050811390817758
042,Impresión y reproducción,042,1.578,1.8796293993284645,0.011729349405886769,0.05375330362698627,0.041980983995312124,-0.016344185320070204
"043,044",Coquización y refinación,"043,044",8.555,11.380767730722491,0.019209437475487867,0.0035034287446372436,0.005410799715745583,0.029400902431840015
045-047,Químicos y farmacéuticos,045-047,10.24,13.992974262618619,0.02103509971896811,0.10486120505733425,0.16211162088118236,0.02946903203032436
048,Caucho y plástico,048,2.476,3.0731977001390605,0.014509202001246724,0.0720288202673614,0.10840705044027209,0.02762993878337716
049,Minerales no metálicos,049,9.722,10.92050939766307,0.007780193550365855,0.0779906339133927,0.09588441569351344,0.013865562240417129
"050,051",Metalurgia y productos metálicos,"050,051",5.32,6.32203412826802,0.011570945346875083,0.16903266473389073,0.20759758543399404,0.01379491991699
052,Equipo eléctrico y electrónico,052,1.653,2.8607531984501176,0.03724297604058724,0.04239922673117084,0.05104724259419475,0.012451644475257373
"053,057",Maquinaria e instalación,"053,057",4.118,4.018355967096478,-0.0016316509433085269,0.0918463499114909,0.10560302900207087,0.009348088534115728
054,Vehículos y equipo de transporte,054,2.0819999999999994,2.2369250351732886,0.004796345847470906,0.04292003026238436,0.03583197099670325,-0.011961096065929544
055,Muebles y colchones,055,1.912,2.409689803018235,0.015542765743037812,0.13858751861309127,0.17694024914374737,0.016420699790433924
056,Otras manufactureras,056,3.0919999999999996,3.608110343975464,0.010344205456541022,0.09424631630015258,0.08762592779851877,-0.0048438842124426396
058-060,Energía eléctrica,058-060,12.705,18.54986127440577,0.025552111479585804,0.04189184797885692,0.06210099594068584,0.026592143824372805
061,"Gas, vapor y aire acondicionado",061,2.145,3.3058298083149955,0.0292563292919521,0.013774342028678124,0.021337284494018574,0.02960636572194586
062,Agua,062,2.073,2.4271334978250003,0.01056974234296737,0.03392044403142028,0.06459380032405485,0.04387529765831499
"063,064,066","Aguas residuales, desechos y saneamiento","063,064,066",3.8279999999999994,4.417444723164031,0.009593656119009086,0.03223279063850959,0.0603063417859694,0.04264789753968978
065,Reciclaje,065,1.131,1.4392379605138546,0.016197214235906587,0.002447677726194799,0.09629869926508464,0.277392648263338
067,Edificaciones,067,22.035,20.466390757447634,-0.004911103090774915,0.6470555075236512,1.0280010358434257,0.03134381300026634
068,Obras civiles,068,9.751,11.939425353011725,0.01358992383173474,0.1171378138441624,0.21244230855047225,0.040486045034572316
069,Actividades especializadas de construcción,069,8.542,9.082220023194926,0.00409660063909012,0.19428274607351254,0.33994172464932637,0.03800158341338955
070|071,Comercio; Reparación de vehículos,070; 071,51.166,89.07313885503241,0.03765030807131198,3.1446644737500353,3.902758903545778,0.01450259111062735
"072,074",Transporte terrestre y tuberías,"072,074",24.131,31.81156414769242,0.018592905348849387,0.8769417311406662,1.3007239382313887,0.02663080857807998
073,Transporte acuático,073,0.231,0.20710213733070768,-0.007253937061877158,0.014344189486882012,0.018844657351922502,0.018358787801651788
075,Transporte aéreo,075,2.884,7.6847413033538245,0.06751896627361531,0.015741067109844555,0.02686310967711565,0.036274490964895545
076,Almacenamiento y apoyo al transporte,076,4.917000000000001,9.521505769207131,0.04504187995604636,0.17833070092215672,0.25582717918089654,0.024349212060319037
077,Correo y mensajería,077,0.741,1.2245683968636212,0.034056627886121627,0.06636044698788104,0.19024915329679995,0.07273939211474323
078-080,Alojamiento y comida,078-080,23.796,40.636968158629095,0.036321454440124024,0.8633264591965569,1.7338397050460201,0.04758416755364192
081-084,Información y comunicaciones,081-084,18.256,31.286882674260237,0.03656636156932591,0.40203719671318544,0.3980526886598733,-0.0006637951495040983
085-088,Financieras y seguros,085-088,22.312,53.11234172668485,0.05952318170777726,0.22083495304202078,0.4265539778314568,0.044865554348358705
089,Inmobiliarias,089,59.932,90.07380494244305,0.02753348280988499,0.2140472855106472,0.316513852209824,0.02642101005844233
090-093,"Profesionales, científicas y técnicas",090-093,21.757,31.19124967170415,0.024304115269939475,0.2979814468604262,0.5706437187215897,0.04426740174055066
094-097,Servicios administrativos y de apoyo,094-097,23.6,38.84395535022218,0.03377834256751866,0.5374202901603286,1.0802402302210108,0.04764405420849105
"098,099",Administración pública y defensa,"098,099",31.284,62.72372487733989,0.04746769464251033,0.49884721863817183,0.8122684920920301,0.03303603269687505
100|101,Educación de mercado; Educación de no mercado,100; 101,31.079,52.82731031154428,0.03599922577879022,0.7473729246987799,1.0075592241345608,0.020114407949813007
"102,103",Salud y servicios sociales,"102,103",23.573,49.78863414168853,0.051108844405916454,0.6990246415635623,1.0133705095546737,0.025065739393616004
104-108,"Arte, recreación y otros servicios",104-108,10.994,40.570915803534106,0.09094771894553455,0.9658754278311716,1.235100196529484,0.016526578167798123
109,Hogares como empleadores,109,4.276,6.72433785508047,0.030641095210144353,0.6723325600844939,0.7159043419566725,0.004195005051401246
